Ion Type (raw),Ion Type (Normalized),Structure Type (raw),Structure Group (Canonical),Doping / and or GB Strategy,superionic conductor Formula (Chemical),Conductivity (raw),Conductivity σ (S/cm) [numeric],Temperature (°C),Activation Energy Ea (raw),Activation Energy Ea (eV)  [smart parsed],"Activation Energy Ea (candidates, eV)",Cycle Life (raw),Structure Family (Canonical)
Na⁺,Na+,Tetragonal (Na₃SbS₄-type),Other,W⁶⁺ supervalent substitution for Sb⁵⁺ creating Na vacancies,Na₂.₉Sb₀.₉W₀.₁S₄,σbulk 96 mS·cm⁻¹ / 293 K; σtotal ≈10 mS·cm⁻¹ / 293 K; σbulk 1.8 mS·cm⁻¹ / –130 °C,96.0,130.0,"Ea,bulk 0.11; Ea,total 0.17–0.20",0.17,0.11; 0.17; -0.2,–,Other / Novel
Li⁺,Li+,Cubic argyrodite (F-43m),Argyrodite,Bi + F dual-doping (BiF₃ replacing part of LiCl and P₂S₅),Li₅.₅₄P₀.₉₈Bi₀.₀₂S₄.₅Cl₁.₄₄F₀.₀₆ (LPBiSClF₀.₀₆),5.37 mS·cm⁻¹ / RT,5.37,,0.28,0.28,0.28,–,Argyrodite
K⁺,K+,Cubic K₃SbS₄ (I4̅3m),Halide,Cl⁻ doping at S sites inducing ~4.17% K-vacancies,K₂.875SbS₃.875Cl₀.125 (2v-2Cl),14.8 mS·cm⁻¹ / 300 K,14.8,,0.12,0.12,0.12,–,Halide
K⁺,K+,Cubic K₃SbS₄ (I4̅3m),Halide,Cl⁻ doping at S sites inducing ~2.08% K-vacancies,K₂.9375SbS₃.9375Cl₀.0625 (1v-1Cl),≈10⁻² S·cm⁻¹ (predicted); Dₖ~6.91×10⁻⁶ cm²·s⁻¹ at 1000 K,10.0,,0.13,0.13,0.13,–,Halide
Zn²⁺ (protective layer for Zn anode in AZIBs),Zn²+(protectivelayerforZnanodeinAZIBs),NASICON (R3c),NASICON,–,Na₃V₂(PO₄)₃ (NVP),–,,,–,,,Symmetric NVP@Zn//NVP@Zn stable 500 h at 0.5 mA cm⁻²; 300 h at 2 & 5 mA cm⁻² without dendrites,NASICON
Li⁺,Li+,Glassy sulfide,Glassy sulfide,LiI doping + SiS₂ substitution (P:Si=6),"75Li₂S–25P₂S₅ + 40 mol% LiI (Si-doped, P:Si=6)",2.21×10⁻³ / 25 °C,2.21,25.0,0.253,0.253,0.253,–,Sulfide
Li⁺,Li+,Glassy sulfide,Glassy sulfide,LiI doping (no Si),"75Li₂S–25P₂S₅ + 40 mol% LiI (without Si, “blank”)",~1.0×10⁻³ / 25 °C,1.0,25.0,~0.30,0.3,0.3,–,Sulfide
Li⁺,Li+,Argyrodite + glass composite (C:G=7),Polymer composite,Glass filler (P:Si=6),"Li₅.₄PS₄.₄Cl₁.₆ (argyrodite, composite)",~6.0×10⁻³ / 25 °C,6.0,25.0,–,,,–,Polymer composite
Li⁺,Li+,Glassy sulfide (monomer-rich Li₃PS₄–Li₄SiS₄ network),Glassy sulfide,Halogen doping with LiI (40 mol%) + partial substitution of P₂S₅ by SiS₂ to suppress Li₂Sₓ formation,0.6((75+0.5x)Li₂S-(25-0.5x)P₂S₅-xSiS₂)-40LiI (optimal P:Si=6 composition),2.21e-3 / 25,0.00221,,0.253,0.253,0.253,–,Sulfide
Li⁺,Li+,Glassy sulfide,Glassy sulfide,"– (no halogen, no Si doping)",75Li₂S–25P₂S₅ (blank glassy electrolyte),0.46e-3 / 25,0.00046,,–,,,–,Sulfide
Li⁺,Li+,Argyrodite crystalline sulfide,Argyrodite,Cl⁻ as intrinsic halide; no extra doping (reference state-of-the-art),Li₆PS₅Cl (argyrodite),2.04e-3 / 25,0.00204,,–,,,–,Argyrodite
Li⁺,Li+,Argyrodite crystalline sulfide (high-Cl content),Halide,Intrinsic high Cl⁻ content,Li₅.₄PS₄.₄Cl₁.₆ (high-Cl argyrodite),7.31e-3 / 25 (before composite),0.00731,,–,,,–,Halide
Li⁺,Li+,Oxide polycrystalline (monoclinic C/2c),Oxide,– (baseline),LiTa₂PO₈ (LTPO),σ_bulk 1.99e-3 / 25; σ_total 1.3e-5 / 25,0.00199,,0.44,0.44,0.44,–,Other / Novel
Li⁺,Li+,Oxide polycrystalline,Oxide,LiF sintering additive (removed on final sintering),LiTa₂PO₈–0.15LiF (LTPO–LiF),σ_total 7.3e-5 / 25,7.3e-05,,–,,,–,Other / Novel
Li⁺,Li+,Oxide polycrystalline (Hf-doped),Oxide,Hf⁴⁺ doping (0.05 mol) at Ta sites,Li₁.₀₅Hf₀.₀₅Ta₁.₉₅PO₈ (LHTPO),σ_bulk 1.72e-3 / 25; σ_total 4.3e-4 / 25,0.00172,,0.35,0.35,0.35,–,Other / Novel
Li⁺,Li+,Oxide polycrystalline (Hf-doped + LiF sintering),Oxide,Hf⁴⁺ doping + LiF sintering additive,Li₁.₀₅Hf₀.₀₅Ta₁.₉₅PO₈–0.15LiF (LHTPO–LiF),σ_total 7.9e-4 / 25,0.00079,,0.35,0.35,0.35,–,Other / Novel
Li⁺,Li+,Halide,Halide,F⁻ substitution (dual-halogen),Li₃InCl₄.₈F₁.₂,5.1e-4 / 25,0.00051,,–,,,–,Halide
Li⁺,Li+,Sulfide (argyrodite-like),Argyrodite,Cl⁻ content x=1.5 (size-controlled particles),Li₅.₅PS₄.₅Cl₁.₅,4.98e-3 / 25,0.00498,,–,,,–,Argyrodite
Na⁺,Na+,Halide (double perovskite-like chloride),Halide,Sm and Ta substitution in Na₃Cl₆ framework,Na₀.₈₆SmTa₀.₄₃Cl₆,2.8e-3 / 25,0.0028,,0.27,0.27,0.27,–,Halide
Na⁺,Na+,Halide (double perovskite-like chloride),Halide,La and Ta substitution,NaLa₀.₉₅Ta₀.₄₃Cl₆,2.5e-3 / 25,0.0025,,0.30,0.3,0.3,–,Halide
Na⁺,Na+,Halide (double perovskite-like chloride),Halide,Ce and Ta substitution,NaCe₀.₈₃Ta₀.₅Cl₆,2.3e-3 / 25,0.0023,,0.29,0.29,0.29,–,Halide
Na⁺,Na+,Halide (double perovskite-like chloride),Halide,Nd and Ta substitution,NaNd₀.₈₃Ta₀.₅Cl₆,2.1e-3 / 25,0.0021,,0.28,0.28,0.28,–,Halide
Li⁺,Li+,"Halide (fluoride, predicted)",Halide,– (screened structure),Li₄ZrF₈,Predicted σ >10⁻³ / 25 (AIMD),10.0,,–,,,–,Halide
Li⁺,Li+,"Halide (bromide, predicted)",Halide,– (screened structure),Li₃ErBr₆,Predicted σ >10⁻³ / 25 (AIMD),10.0,,–,,,–,Halide
Li⁺,Li+,"Halide (iodide, predicted)",Halide,– (screened structure),Li₂ZnI₄,Predicted σ >10⁻³ / 25 (AIMD),10.0,,–,,,–,Halide
Ag⁺,Ag+,Delafossite oxide,Oxide,"– (stoichiometric, perfect crystal)",AgFeO₂ (delafossite),0.333 / 800 K,0.333,,"0.374 (O–O), 0.412 (O–Fe–O)",0.374,0.374; 0.412,–,Other / Novel
Ag⁺,Ag+,Delafossite oxide,Oxide,Ag-vacancy defects introduced,"AgFeO₂ (delafossite, Ag-deficient)",0.049 / 600 K,0.049,,"0.374 (O–O), 0.412 (O–Fe–O)",0.374,0.374; 0.412,–,Other / Novel
Li⁺,Li+,Sulfide,Sulfide,–,Li₅B₇S₁₃,2.47e-3 / 25,0.00247,,0.267,0.267,0.267,–,Sulfide
Li⁺,Li+,Halide,Halide,–,Li₃ErCl₆,6.58e-4 / 25,0.000658,,0.351,0.351,0.351,–,Halide
Li⁺,Li+,Sulfide,Sulfide,–,Li₂B₂S₅,6.13e-4 / 25,0.000613,,0.320,0.32,0.32,–,Sulfide
Li⁺,Li+,Sulfide,Sulfide,–,LiAlS₂,5.84e-4 / 25,0.000584,,0.333,0.333,0.333,–,Sulfide
Li⁺,Li+,Halide,Halide,–,Li₃ErBr₆,4.87e-4 / 25,0.000487,,0.325,0.325,0.325,–,Halide
Li⁺,Li+,Sulfide,Sulfide,–,Li₂GePbS₄,4.81e-4 / 25,0.000481,,0.373,0.373,0.373,–,Sulfide
Li⁺,Li+,Sulfide,Sulfide,–,LiBiS₂,1.73e-4 / 25,0.000173,,0.194,0.194,0.194,–,Sulfide
Li⁺,Li+,Other,Other,–,RbLi₆B₂O₆F,1.29e-4 / 25,0.000129,,0.367,0.367,0.367,–,Other / Novel
Li⁺,Li+,Other,Other,–,BaLi(BS₂)₃,1.20e-4 / 25,0.00012,,0.348,0.348,0.348,–,Other / Novel
Li⁺,Li+,Halide,Halide,–,Li₂VCl₅,"9.79e-5 / 35 (EIS, experimental)",9.79e-05,,0.39,0.39,0.39,–,Halide
Li⁺,Li+,Halide,Halide,–,LiGaI₄,"1.67e-5 / 35 (EIS, experimental)",1.67e-05,,0.48,0.48,0.48,–,Halide
Li⁺,Li+,Oxide (predicted),Oxide,–,Li₄.₅TiO₃.₂₅,4.399e-2 / 25 (AIMD),0.04399,,–,,,–,Other / Novel
Li⁺,Li+,Phosphate (predicted),Phosphate,–,Li₆V₃Fe(PO₄)₆,1.182e-2 / 25 (AIMD),0.01182,,–,,,–,Phosphate
Li⁺,Li+,Halide (predicted),Halide,–,Li₂ZnBr₄,3.000e-2 / 25 (AIMD),0.03,,–,,,–,Halide
Li⁺,Li+,Halide (predicted),Halide,–,LiGaBr₄,2.819e-2 / 25 (AIMD),0.02819,,–,,,–,Halide
Li⁺/Na⁺,Li+,Halide fluoride (predicted),Halide,–,Na₂.₅Li₂.₂₅Sc₂F₁₂,2.25e-3 / 25 (AIMD),0.00225,,–,,,–,Halide
Li⁺/Na⁺,Na+,Halide fluoride (predicted),Halide,–,Na₂.₅Li₂.₂₅Sc₂F₁₂,2.25e-3 / 25 (AIMD),0.00225,,–,,,–,Halide
Li⁺,Li+,Halide (tetragonal P42/m),Halide,–,LiSbCl₆ (LSC),"6.97e-2 / 25 (AIMD, predicted)",0.0697,,0.16 (c-axis dominant),0.16,0.16,–,Halide
Li⁺,Li+,Thiophosphate (LGPS-type),LGPS,–,Li₁₀GeP₂S₁₂ (x=0),~1.2e-2 / 25 (exp.),0.012,,~0.21,0.21,0.21,–,Other / Novel
Li⁺,Li+,Thiophosphate (LGPS-type),LGPS,Partial Ge→Sn substitution,Li₁₀Ge₀.₆₇Sn₀.₃₃P₂S₁₂,~6.0e-3 / 25 (exp.),0.006,,~0.24,0.24,0.24,–,Other / Novel
Li⁺,Li+,Thiophosphate (LGPS-type),LGPS,Higher Sn substitution,Li₁₀Ge₀.₃₃Sn₀.₆₇P₂S₁₂,~2.5e-3 / 25 (exp.),0.0025,,~0.27,0.27,0.27,–,Other / Novel
Li⁺,Li+,Thiophosphate (LGPS-type),LGPS,Full Ge→Sn substitution,Li₁₀SnP₂S₁₂ (x=1),~1.0e-3 / 25 (exp.),0.001,,~0.30,0.3,0.3,–,Other / Novel
Li⁺,Li+,Argyrodites,Other,–,Li₆PS₅Cl,1.84e-3 / 25 (exp.),0.00184,,0.29,0.29,0.29,–,Other / Novel
Li⁺,Li+,Argyrodites,Other,–,Li₆PS₅Br,8.88e-4 / 25 (exp.),0.000888,,0.32,0.32,0.32,–,Other / Novel
Li⁺,Li+,Argyrodites,Other,–,Li₆PS₅I,3.92e-4 / 25 (exp.),0.000392,,0.37,0.37,0.37,–,Other / Novel
Li⁺,Li+,Argyrodites,Other,Mixed halide (Cl/Br),Li₆PS₅Cl₀.₅Br₀.₅,2.05e-3 / 25 (exp.),0.00205,,0.28,0.28,0.28,–,Other / Novel
Li⁺,Li+,Argyrodites,Other,Mixed halide (Br/I),Li₆PS₅Br₀.₅I₀.₅,5.77e-4 / 25 (exp.),0.000577,,0.34,0.34,0.34,–,Other / Novel
Li⁺,Li+,Argyrodites,Other,Anion disorder studied computationally,Li₆PS₅Cl,"(AIMD only, no experimental σ in this paper)",,,–,,,–,Other / Novel
Li⁺,Li+,Argyrodites,Other,Anion disorder studied computationally,Li₆PS₅Br,"(AIMD only, no experimental σ in this paper)",,,–,,,–,Other / Novel
Li⁺,Li+,Argyrodites,Other,Anion disorder studied computationally,Li₆PS₅I,"(AIMD only, no experimental σ in this paper)",,,–,,,–,Other / Novel
Li⁺,Li+,Polymer (polythiourea),Polymer composite,LiClO₄-doped PTU1,PTU1 + LiClO₄ (PSE1),1.23e-4 / 60,0.000123,,0.28,0.28,0.28,–,Polymer composite
Li⁺,Li+,Polymer (polythiourea),Polymer composite,LiClO₄-doped PTU2,PTU2 + LiClO₄ (PSE2),1.45e-4 / 60,0.000145,,0.27,0.27,0.27,–,Polymer composite
Li⁺,Li+,Polymer (polythiourea),Polymer composite,LiClO₄-doped PTU3,PTU3 + LiClO₄ (PSE3),1.62e-4 / 60,0.000162,,0.25,0.25,0.25,–,Polymer composite
Li⁺,Li+,Inorganic nanofiber,Other,"Li,F codoping in hydroxyapatite lattice","Li-HA-F nanofiber (Li,F-doped hydroxyapatite)",1.26e-2 / 25 (exp.),0.0126,,–,,,–,Other / Novel
Li⁺,Li+,Polymer composite,Polymer composite,PEO-LiTFSI matrix reinforced with Li-HA-F nanofiber,Composite solid electrolyte (CSE: PEO-LiTFSI + Li-HA-F nanofiber),4.0e-4 / 30 (exp.),0.0004,,0.23,0.23,0.23,–,Polymer composite
Li⁺,Li+,Inorganic nanofiber,Other,"Li,F codoping in hydroxyapatite lattice","Li-HA-F nanofiber (Li,F-doped hydroxyapatite)",1.26e-2 / 25 (exp.),0.0126,,–,,,–,Other / Novel
Li⁺,Li+,Polymer composite,Polymer composite,PEO-LiTFSI matrix reinforced with Li-HA-F nanofiber,Composite solid electrolyte (CSE: PEO-LiTFSI + Li-HA-F nanofiber),4.0e-4 / 30 (exp.),0.0004,,0.23,0.23,0.23,–,Polymer composite
Li⁺,Li+,Polymer composite with superionic filler,Polymer composite,PVDF-LiTFSI matrix reinforced with Li-NC soft filler,Li-NC soft filler in PVDF + LiTFSI (TDCT),2.5e-4 / 30 (exp.),0.00025,,0.146,0.146,0.146,–,Polymer composite
Na⁺,Na+,Thiophosphate,Thio-LISICON,–,Na₃PS₄ (tetragonal),2.6e-5 / 25 (exp.),2.6e-05,,0.49,0.49,0.49,–,LISICON
Na⁺,Na+,Thiophosphate (c-Na₃PS₄),Thio-LISICON,–,"Na₃PS₄ (cubic, undoped)",2.2e-4 / 25 (exp.),0.00022,,0.39,0.39,0.39,–,LISICON
Na⁺,Na+,Thiophosphate (cubic),Thio-LISICON,Ca²⁺ substitution on Na-site (vacancy creation),Na₂.₇₃₀Ca₀.₁₃₅PS₄ (Ca-doped),9.4e-4 / 25 (exp.),0.00094,,0.36,0.36,0.36,–,LISICON
Na⁺,Na+,Thiophosphate-type chalcogenide,Thio-LISICON,–,Na₃SbS₄ (tetragonal),8.9e-5 / 25 (exp.),8.9e-05,,0.28,0.28,0.28,–,LISICON
Na⁺,Na+,Thiophosphate-type chalcogenide,Thio-LISICON,Partial S→Se substitution,Na₃SbS₃Se (cubic),3.75e-4 / 25 (exp.),0.000375,,0.21,0.21,0.21,–,LISICON
Na⁺,Na+,Thiophosphate-type chalcogenide,Thio-LISICON,Higher Se substitution,Na₃SbS₂Se₂ (cubic),2.80e-4 / 25 (exp.),0.00028,,0.19,0.19,0.19,–,LISICON
Li⁺,Li+,Halide (Li₃InCl₆),Halide,–,Li₃InCl₆,9.8e-4 / 25 (exp.),0.00098,,–,,,–,Halide
Li⁺,Li+,"New iodide-based sulfide (Pnma space group, derived from β-Li₃PS₄ + LiI)",Halide,Incorporation of LiI into Li₃PS₄ lattice,Li₇P₂S₈I,6.3e-4 / 25 (exp.),0.00063,,–,,,–,Halide
Na⁺,Na+,Sulfide (tetragonal),Sulfide,–,Na₃SbS₄,0.34e-3 / 30,0.00034,,–,,,–,Sulfide
Na⁺,Na+,Glass-ceramic sulfide,Glassy sulfide,I⁻ incorporation (NaI),0.1NaI·0.9Na₃SbS₄,0.74e-3 / 30,0.00074,,~0.2–0.3,0.2,0.2; -0.3,–,Sulfide
Na⁺,Na+,Glass-ceramic sulfide,Glassy sulfide,Br⁻ incorporation,0.1NaBr·0.9Na₃SbS₄,0.30e-3 / 30,0.0003,,0.33,0.33,0.33,–,Sulfide
Li⁺,Li+,Halide (hcp),Halide,–,Li₃YCl₆,6.08e-5 / 25 (exp.),6.08e-05,,0.43,0.43,0.43,–,Halide
Li⁺,Li+,Halide (mixed phase),Halide,Partial substitution of In³⁺ for Y³⁺,Li₃Y₀.₅In₀.₅Cl₆,1.42e-3 / 25 (exp.),0.00142,,0.30,0.3,0.3,–,Halide
Li⁺,Li+,Halide (ccp),Halide,Full substitution of In³⁺ for Y³⁺,Li₃InCl₆,1.42e-3 / 25 (exp.),0.00142,,0.29,0.29,0.29,–,Halide
Li⁺,Li+,Complex hydride lithium superionic conductor,Other,–,0.7Li(CB₉H₁₀)–0.3Li(CB₁₁H₁₂),6.7e-3 / 25 (exp.),0.0067,,0.29,0.29,0.29,–,Other / Novel
Na⁺,Na+,Sulfide glass (orthothiophosphate),Thio-LISICON,–,Na₃PS₄ glass,6.0e-6 / 25 (exp.),6e-06,,0.47 (47 kJ mol⁻¹),0.47,0.47; 47,–,LISICON
Na⁺,Na+,Sulfide glass-ceramic (cubic Na₃PS₄ stabilized),Glassy sulfide,–,Na₃PS₄ glass-ceramic (cubic),2.0e-4 / 25 (exp.),0.0002,,0.27 (27 kJ mol⁻¹),0.27,0.27; 27,–,Sulfide
Na⁺,Na+,Sulfide glass-ceramic (low-temp tetragonal Na₃PS₄),Glassy sulfide,–,Na₃PS₄ glass-ceramic (tetragonal),1.0e-6 / 25 (exp.),1e-06,,–,,,–,Sulfide
Li⁺,Li+,Pliable halide–fluoride glass electrolyte,Halide,–,3LiCl–GaF₃ (glass),3.6e-3 / 25 (exp.),0.0036,,0.25,0.25,0.25,–,Halide
Li⁺,Li+,Pliable halide–fluoride glass electrolyte,Halide,–,3LiBr–GaF₃ (glass),1.8e-3 / 25 (exp.),0.0018,,0.28,0.28,0.28,–,Halide
Li⁺,Li+,Pliable halide–fluoride glass electrolyte with surface-modifying additive,Halide,Li₂CO₃-B coating on cathode,3LiCl–GaF₃ + Li₂CO₃-B coating (as catholyte),3.6e-3 / 25 (exp.),0.0036,,0.25,0.25,0.25,–,Halide
